,p,premium,agent_commission
0,0.97,28500,2000
1,0.92,1200,2000
2,1.0,13800,2000
3,1.0,5400,2000
4,0.93,5700,2000
5,0.99,5700,2000
6,0.83,7500,2000
7,0.93,9600,2000
8,0.83,11700,2000
9,1.0,15900,2000
10,0.71,7500,2000
11,1.0,7500,2000
12,0.93,9600,2000
13,0.83,7500,2000
14,1.0,15900,2000
15,0.99,9600,2000
16,0.95,5700,2000
17,0.79,3300,2000
18,1.0,5400,2000
19,0.99,7500,2000
20,0.93,20100,2000
21,1.0,11700,2000
22,1.0,13800,2000
23,0.96,32700,2000
24,0.91,11700,2000
25,0.96,30600,2000
26,1.0,5700,2000
27,0.97,11700,2000
28,0.98,11700,2000
29,0.95,5400,2000
30,0.99,1200,2000
31,0.78,7500,2000
32,0.99,3300,2000
33,0.92,11700,2000
34,0.55,3300,2000
35,0.96,7500,2000
36,0.98,1200,2000
37,0.97,13800,2000
38,1.0,5400,2000
39,0.98,1200,2000
40,0.95,7500,2000
41,0.96,5400,2000
42,0.98,11700,2000
43,0.98,1200,2000
44,0.99,1200,2000
45,0.98,5400,2000
46,0.9,5700,2000
47,0.83,1200,2000
48,0.98,1200,2000
49,0.92,22200,2000
50,0.98,15900,2000
51,0.96,22200,2000
52,0.98,3300,2000
53,0.43,3300,2000
54,0.99,15900,2000
55,0.84,11700,2000
56,1.0,9600,2000
57,0.99,11700,2000
58,0.99,13800,2000
59,0.98,3300,2000
60,0.95,13800,2000
61,0.99,9600,2000
62,0.96,1200,2000
63,0.96,13800,2000
64,1.0,18000,2000
65,0.99,7500,2000
66,1.0,9600,2000
67,0.99,15900,2000
68,1.0,15900,2000
69,1.0,30600,2000
70,1.0,13800,2000
71,1.0,7500,2000
72,0.94,1200,2000
73,0.99,5400,2000
74,1.0,28500,2000
75,0.98,1200,2000
76,0.88,5700,2000
77,0.75,20100,2000
78,0.87,11700,2000
79,0.99,1200,2000
80,0.8,1200,2000
81,0.93,5400,2000
82,0.82,5400,2000
83,1.0,9600,2000
84,0.99,3300,2000
85,1.0,1200,2000
86,0.96,20100,2000
87,0.38,3300,2000
88,1.0,11700,2000
89,1.0,20100,2000
90,0.95,9600,2000
91,0.97,5400,2000
92,0.92,20100,2000
93,0.99,5400,2000
94,1.0,34800,2000
95,0.99,5400,2000
96,0.75,9600,2000
97,0.99,26400,2000
98,0.87,11700,2000
99,0.82,7500,2000
100,1.0,1200,2000
101,0.91,20100,2000
102,0.92,15900,2000
103,0.97,60000,2000
104,0.98,5400,2000
105,0.96,11700,2000
106,0.98,15900,2000
107,0.84,26400,2000
108,0.93,5400,2000
109,1.0,7500,2000
110,0.95,13800,2000
111,1.0,11700,2000
112,0.87,5400,2000
113,0.89,13800,2000
114,1.0,7500,2000
115,1.0,9600,2000
116,0.98,9600,2000
117,0.92,3300,2000
118,0.95,7500,2000
119,0.83,3300,2000
120,0.73,5700,2000
121,0.83,9600,2000
122,0.75,5400,2000
123,0.96,18000,2000
124,0.75,5400,2000
125,0.97,5400,2000
126,0.88,9600,2000
127,1.0,11700,2000
128,0.77,5400,2000
129,0.97,9600,2000
130,0.99,7500,2000
131,0.99,3300,2000
132,0.92,1200,2000
133,0.99,1200,2000
134,1.0,1200,2000
135,0.97,3300,2000
136,0.98,20100,2000
137,1.0,26400,2000
138,0.99,3300,2000
139,0.98,15900,2000
140,0.83,3300,2000
141,0.92,7500,2000
142,0.95,9600,2000
143,1.0,5400,2000
144,0.94,18000,2000
145,0.66,11700,2000
146,1.0,7500,2000
147,0.97,11700,2000
148,1.0,9600,2000
149,1.0,9600,2000
150,0.69,9600,2000
151,0.88,5400,2000
152,0.83,13800,2000
153,0.99,11700,2000
154,0.93,28500,2000
155,0.93,5400,2000
156,0.97,5400,2000
157,1.0,22200,2000
158,0.99,7500,2000
159,0.97,26400,2000
160,0.94,3300,2000
161,1.0,11700,2000
162,0.97,5400,2000
163,0.99,3300,2000
164,0.97,9600,2000
165,0.34,5400,2000
166,1.0,9600,2000
167,0.99,13800,2000
168,0.86,7500,2000
169,0.99,13800,2000
170,0.99,5400,2000
171,1.0,9600,2000
172,0.81,11700,2000
173,0.94,13800,2000
174,0.97,24300,2000
175,1.0,5400,2000
176,1.0,32700,2000
177,0.98,1200,2000
178,1.0,13800,2000
179,0.74,7500,2000
180,0.93,13800,2000
181,1.0,22200,2000
182,0.97,3300,2000
183,0.75,7500,2000
184,0.99,1200,2000
185,0.97,24300,2000
186,0.94,7500,2000
187,0.99,7500,2000
188,1.0,11700,2000
189,1.0,13800,2000
190,0.97,13800,2000
191,1.0,11700,2000
192,0.99,7500,2000
193,0.99,13800,2000
194,0.94,1200,2000
195,0.99,5400,2000
196,1.0,9600,2000
197,1.0,7500,2000
198,1.0,3300,2000
199,1.0,36900,2000
200,1.0,5400,2000
201,0.77,5400,2000
202,0.99,41100,2000
203,1.0,5400,2000
204,1.0,13800,2000
205,1.0,9600,2000
206,0.65,5700,2000
207,0.73,5700,2000
208,0.99,11700,2000
209,1.0,11700,2000
210,0.74,3300,2000
211,1.0,3300,2000
212,0.85,5400,2000
213,1.0,9600,2000
214,0.81,3300,2000
215,1.0,13800,2000
216,0.7,53700,2000
217,1.0,7500,2000
218,1.0,24300,2000
219,0.96,13800,2000
220,1.0,9600,2000
221,0.72,22200,2000
222,0.98,3300,2000
223,0.99,5700,2000
224,0.99,7500,2000
225,0.98,13800,2000
226,1.0,9600,2000
227,0.96,1200,2000
228,0.7,15900,2000
229,0.87,24300,2000
230,0.98,53700,2000
231,0.67,5400,2000
232,0.4,11700,2000
233,0.88,1200,2000
234,0.96,24300,2000
235,1.0,13800,2000
236,1.0,9600,2000
237,0.96,5400,2000
238,1.0,24300,2000
239,0.93,5700,2000
240,0.99,5400,2000
241,1.0,18000,2000
242,1.0,11700,2000
243,0.98,13800,2000
244,1.0,13800,2000
245,1.0,9600,2000
246,1.0,3300,2000
247,1.0,5700,2000
248,1.0,20100,2000
249,1.0,18000,2000
250,0.98,7500,2000
251,0.8,13800,2000
252,1.0,1200,2000
253,0.99,13800,2000
254,1.0,15900,2000
255,0.99,5400,2000
256,1.0,7500,2000
257,0.98,5400,2000
258,1.0,5700,2000
259,0.93,1200,2000
260,0.86,7500,2000
261,1.0,18000,2000
262,0.95,11700,2000
263,0.95,39000,2000
264,0.94,20100,2000
265,0.92,9600,2000
266,1.0,5700,2000
267,0.96,13800,2000
268,0.98,11700,2000
269,0.97,3300,2000
270,0.95,18000,2000
271,0.96,3300,2000
272,1.0,9600,2000
273,0.77,15900,2000
274,0.99,13800,2000
275,0.93,5400,2000
276,1.0,7500,2000
277,0.92,24300,2000
278,1.0,13800,2000
279,0.94,7500,2000
280,0.95,3300,2000
281,1.0,15900,2000
282,0.99,26400,2000
283,0.99,13800,2000
284,0.89,9600,2000
285,0.89,13800,2000
286,0.73,18000,2000
287,0.92,18000,2000
288,0.94,3300,2000
289,0.99,1200,2000
290,0.97,20100,2000
291,0.98,3300,2000
292,0.99,9600,2000
293,0.96,5400,2000
294,0.94,7500,2000
295,0.86,13800,2000
296,0.98,3300,2000
297,1.0,20100,2000
298,1.0,18000,2000
299,0.95,7500,2000
300,0.99,5400,2000
301,0.99,11700,2000
302,1.0,9600,2000
303,0.95,13800,2000
304,0.84,7500,2000
305,0.99,11700,2000
306,0.98,3300,2000
307,0.99,1200,2000
308,0.99,5700,2000
309,0.99,5400,2000
310,0.98,9600,2000
311,0.98,5700,2000
312,1.0,11700,2000
313,0.98,5700,2000
314,0.96,22200,2000
315,0.94,24300,2000
316,0.93,9600,2000
317,0.98,3300,2000
318,0.89,7500,2000
319,0.62,1200,2000
320,1.0,5400,2000
321,1.0,60000,2000
322,0.97,9600,2000
323,0.83,7500,2000
324,0.97,11700,2000
325,0.98,5400,2000
326,1.0,9600,2000
327,0.98,18000,2000
328,0.99,9600,2000
329,0.86,20100,2000
330,0.89,5700,2000
331,0.93,20100,2000
332,0.99,13800,2000
333,0.54,7500,2000
334,0.99,32700,2000
335,0.81,5700,2000
336,0.72,1200,2000
337,0.98,9600,2000
338,1.0,5400,2000
339,1.0,20100,2000
340,1.0,1200,2000
341,0.74,13800,2000
342,0.9,3300,2000
343,1.0,15900,2000
344,0.95,1200,2000
345,0.97,9600,2000
346,0.8,5700,2000
347,0.92,3300,2000
348,0.91,11700,2000
349,1.0,26400,2000
350,1.0,15900,2000
351,0.99,7500,2000
352,0.92,11700,2000
353,0.97,3300,2000
354,0.78,1200,2000
355,0.97,1200,2000
356,1.0,11700,2000
357,0.9,1200,2000
358,0.96,11700,2000
359,0.75,3300,2000
360,0.98,1200,2000
361,0.98,3300,2000
362,1.0,13800,2000
363,0.98,11700,2000
364,0.99,18000,2000
365,1.0,7500,2000
366,1.0,7500,2000
367,0.99,13800,2000
368,0.99,7500,2000
369,0.88,5400,2000
370,0.78,1200,2000
371,1.0,13800,2000
372,0.9,60000,2000
373,0.98,15900,2000
374,0.94,5700,2000
375,1.0,36900,2000
376,0.94,5400,2000
377,0.97,7500,2000
378,0.98,26400,2000
379,0.96,1200,2000
380,0.51,7500,2000
381,0.88,5400,2000
382,0.99,13800,2000
383,0.98,1200,2000
384,0.99,13800,2000
385,0.56,5400,2000
386,0.9,3300,2000
387,0.99,3300,2000
388,0.98,11700,2000
389,0.94,5400,2000
390,1.0,3300,2000
391,1.0,13800,2000
392,0.96,7500,2000
393,0.92,1200,2000
394,1.0,18000,2000
395,0.99,3300,2000
396,0.95,11700,2000
397,1.0,3300,2000
398,1.0,13800,2000
399,0.97,11700,2000
400,0.91,3300,2000
401,0.81,13800,2000
402,0.84,7500,2000
403,0.89,13800,2000
404,0.83,5400,2000
405,1.0,7500,2000
406,0.93,9600,2000
407,0.99,26400,2000
408,0.99,13800,2000
409,0.99,20100,2000
410,0.7,20100,2000
411,0.98,7500,2000
412,0.94,7500,2000
413,0.95,5400,2000
414,0.75,7500,2000
415,0.98,13800,2000
416,0.78,1200,2000
417,0.99,15900,2000
418,0.98,5400,2000
419,1.0,11700,2000
420,0.15,1200,2000
421,1.0,1200,2000
422,0.94,3300,2000
423,0.82,3300,2000
424,0.98,7500,2000
425,0.94,28500,2000
426,1.0,1200,2000
427,1.0,13800,2000
428,1.0,1200,2000
429,0.78,1200,2000
430,1.0,5400,2000
431,1.0,3300,2000
432,0.96,22200,2000
433,1.0,5400,2000
434,0.96,11700,2000
435,0.97,20100,2000
436,0.9,3300,2000
437,0.8,5700,2000
438,0.93,13800,2000
439,0.96,13800,2000
440,0.96,5400,2000
441,0.95,9600,2000
442,0.99,1200,2000
443,0.98,9600,2000
444,0.95,32700,2000
445,1.0,5400,2000
446,0.99,5400,2000
447,1.0,20100,2000
448,0.97,9600,2000
449,0.63,1200,2000
450,1.0,20100,2000
451,1.0,15900,2000
452,1.0,5400,2000
453,0.99,7500,2000
454,0.87,11700,2000
455,0.97,15900,2000
456,0.99,11700,2000
457,0.98,13800,2000
458,0.92,5400,2000
459,0.99,5400,2000
460,1.0,5400,2000
461,1.0,3300,2000
462,0.86,9600,2000
463,0.96,5400,2000
464,0.97,11700,2000
465,1.0,5700,2000
466,0.97,3300,2000
467,0.95,5400,2000
468,1.0,7500,2000
469,0.99,11700,2000
470,0.96,3300,2000
471,1.0,9600,2000
472,0.99,13800,2000
473,0.95,7500,2000
474,0.91,5400,2000
475,1.0,7500,2000
476,1.0,15900,2000
477,0.99,11700,2000
478,0.99,5400,2000
479,0.95,9600,2000
480,1.0,13800,2000
481,0.87,13800,2000
482,1.0,9600,2000
483,0.69,13800,2000
484,0.87,9600,2000
485,1.0,24300,2000
486,1.0,11700,2000
487,0.98,5400,2000
488,0.93,18000,2000
489,0.96,5400,2000
490,0.8,3300,2000
491,0.94,7500,2000
492,0.8,9600,2000
493,0.98,9600,2000
494,0.8,5400,2000
495,0.95,3300,2000
496,0.94,3300,2000
497,0.98,13800,2000
498,0.98,32700,2000
499,1.0,34800,2000
500,0.99,9600,2000
501,1.0,7500,2000
502,0.99,15900,2000
503,0.97,20100,2000
504,0.89,13800,2000
505,0.51,5400,2000
506,1.0,9600,2000
507,0.95,20100,2000
508,0.94,11700,2000
509,0.89,13800,2000
510,1.0,3300,2000
511,0.95,7500,2000
512,0.84,3300,2000
513,0.94,39000,2000
514,1.0,11700,2000
515,0.88,9600,2000
516,0.74,5400,2000
517,0.82,3300,2000
518,0.95,20100,2000
519,0.99,7500,2000
520,0.96,3300,2000
521,0.95,3300,2000
522,1.0,18000,2000
523,0.99,5400,2000
524,1.0,9600,2000
525,1.0,9600,2000
526,0.98,20100,2000
527,1.0,15900,2000
528,0.96,9600,2000
529,0.96,5400,2000
530,0.93,11700,2000
531,0.95,9600,2000
532,0.92,13800,2000
533,0.96,18000,2000
534,0.95,5700,2000
535,1.0,9600,2000
536,0.99,1200,2000
537,0.9,1200,2000
538,1.0,11700,2000
539,0.99,13800,2000
540,0.53,9600,2000
541,0.99,3300,2000
542,0.77,1200,2000
543,0.98,5400,2000
544,1.0,1200,2000
545,1.0,9600,2000
546,0.99,1200,2000
547,0.78,9600,2000
548,0.94,9600,2000
549,0.95,13800,2000
550,0.98,3300,2000
551,0.96,9600,2000
552,0.98,22200,2000
553,0.98,5400,2000
554,0.96,5400,2000
555,0.98,5400,2000
556,0.99,26400,2000
557,0.81,1200,2000
558,0.82,7500,2000
559,0.93,3300,2000
560,0.7,3300,2000
561,0.94,11700,2000
562,0.94,3300,2000
563,0.96,20100,2000
564,0.99,7500,2000
565,0.99,11700,2000
566,0.95,9600,2000
567,0.93,30600,2000
568,0.87,9600,2000
569,0.91,30600,2000
570,0.82,3300,2000
571,0.99,39000,2000
572,0.68,5700,2000
573,1.0,9600,2000
574,0.96,7500,2000
575,0.94,45300,2000
576,0.47,5400,2000
577,0.92,1200,2000
578,1.0,9600,2000
579,0.95,11700,2000
580,0.95,5400,2000
581,0.88,7500,2000
582,0.97,1200,2000
583,0.77,9600,2000
584,0.99,3300,2000
585,0.98,7500,2000
586,0.93,3300,2000
587,0.98,11700,2000
588,0.91,1200,2000
589,0.93,5400,2000
590,0.92,7500,2000
591,0.96,3300,2000
592,0.51,3300,2000
593,1.0,9600,2000
594,1.0,9600,2000
595,0.99,5400,2000
596,0.85,7500,2000
597,0.94,5400,2000
598,0.97,5400,2000
599,0.85,1200,2000
600,0.95,13800,2000
601,0.9,1200,2000
602,0.98,13800,2000
603,1.0,11700,2000
604,1.0,3300,2000
605,0.92,5400,2000
606,1.0,36900,2000
607,0.99,5400,2000
608,1.0,1200,2000
609,0.99,3300,2000
610,0.98,47400,2000
611,0.94,22200,2000
612,1.0,1200,2000
613,1.0,9600,2000
614,0.75,3300,2000
615,1.0,18000,2000
616,0.95,20100,2000
617,0.98,5400,2000
618,0.98,5400,2000
619,0.99,24300,2000
620,0.97,5400,2000
621,0.98,3300,2000
622,0.9,15900,2000
623,1.0,9600,2000
624,0.73,5700,2000
625,0.92,1200,2000
626,0.97,3300,2000
627,1.0,15900,2000
628,1.0,5400,2000
629,0.91,7500,2000
630,0.93,18000,2000
631,0.99,1200,2000
632,0.98,13800,2000
633,0.6,3300,2000
634,0.91,7500,2000
635,0.99,3300,2000
636,0.99,13800,2000
637,0.99,1200,2000
638,1.0,13800,2000
639,0.62,1200,2000
640,0.99,7500,2000
641,1.0,24300,2000
642,0.98,13800,2000
643,0.86,32700,2000
644,1.0,13800,2000
645,1.0,36900,2000
646,0.93,9600,2000
647,0.96,18000,2000
648,0.8,3300,2000
649,1.0,1200,2000
650,1.0,9600,2000
651,0.95,3300,2000
652,0.98,1200,2000
653,0.99,13800,2000
654,0.97,13800,2000
655,0.91,60000,2000
656,1.0,1200,2000
657,1.0,9600,2000
658,0.97,9600,2000
659,0.87,1200,2000
660,1.0,11700,2000
661,1.0,13800,2000
662,1.0,11700,2000
663,0.87,45300,2000
664,0.89,30600,2000
665,0.88,3300,2000
666,0.98,9600,2000
667,1.0,9600,2000
668,0.89,3300,2000
669,0.88,3300,2000
670,1.0,15900,2000
671,0.55,1200,2000
672,0.8,49500,2000
673,0.99,5700,2000
674,0.97,15900,2000
675,0.99,7500,2000
676,0.71,20100,2000
677,0.94,11700,2000
678,0.85,43200,2000
679,0.95,1200,2000
680,0.96,11700,2000
681,0.95,3300,2000
682,0.93,3300,2000
683,1.0,7500,2000
684,0.98,32700,2000
685,0.95,9600,2000
686,0.95,13800,2000
687,0.99,1200,2000
688,0.55,5700,2000
689,1.0,13800,2000
690,0.92,1200,2000
691,1.0,11700,2000
692,1.0,5400,2000
693,0.96,15900,2000
694,0.99,5400,2000
695,0.99,9600,2000
696,0.99,1200,2000
697,0.91,1200,2000
698,0.98,3300,2000
699,0.97,5400,2000
700,0.94,7500,2000
701,0.96,11700,2000
702,0.85,5400,2000
703,0.98,5400,2000
704,1.0,15900,2000
705,0.99,9600,2000
706,0.84,5400,2000
707,1.0,5400,2000
708,0.87,11700,2000
709,0.94,15900,2000
710,1.0,32700,2000
711,0.97,13800,2000
712,0.95,9600,2000
713,0.98,13800,2000
714,0.98,7500,2000
715,0.74,5700,2000
716,0.95,1200,2000
717,0.98,9600,2000
718,0.98,3300,2000
719,1.0,9600,2000
720,1.0,26400,2000
721,1.0,5700,2000
722,0.98,7500,2000
723,1.0,9600,2000
724,1.0,22200,2000
725,0.98,24300,2000
726,0.98,11700,2000
727,1.0,9600,2000
728,1.0,5400,2000
729,0.97,32700,2000
730,1.0,13800,2000
731,0.98,3300,2000
732,0.98,7500,2000
733,0.65,7500,2000
734,0.66,5400,2000
735,0.93,41100,2000
736,0.71,7500,2000
737,0.94,7500,2000
738,1.0,5700,2000
739,0.84,41100,2000
740,0.88,5400,2000
741,0.97,24300,2000
742,0.76,5400,2000
743,0.97,7500,2000
744,0.94,5400,2000
745,0.93,43200,2000
746,0.89,5400,2000
747,1.0,1200,2000
748,0.8,13800,2000
749,0.96,7500,2000
750,0.99,9600,2000
751,0.97,7500,2000
752,0.99,7500,2000
753,0.74,13800,2000
754,0.84,26400,2000
755,0.74,7500,2000
756,0.81,11700,2000
757,1.0,3300,2000
758,0.91,13800,2000
759,0.99,5400,2000
760,0.92,7500,2000
761,1.0,32700,2000
762,1.0,26400,2000
763,0.74,3300,2000
764,0.98,7500,2000
765,1.0,13800,2000
766,0.95,1200,2000
767,1.0,11700,2000
768,0.98,7500,2000
769,0.88,32700,2000
770,0.97,11700,2000
771,0.86,22200,2000
772,0.95,13800,2000
773,0.99,1200,2000
774,0.91,5400,2000
775,0.88,9600,2000
776,0.94,5700,2000
777,0.58,5400,2000
778,0.78,32700,2000
779,0.96,5400,2000
780,0.74,3300,2000
781,0.98,11700,2000
782,0.97,5400,2000
783,0.97,3300,2000
784,1.0,5400,2000
785,0.91,9600,2000
786,1.0,9600,2000
787,0.97,7500,2000
788,0.97,60000,2000
789,0.96,9600,2000
790,0.94,5700,2000
791,0.99,3300,2000
792,0.67,5400,2000
793,1.0,5700,2000
794,0.96,13800,2000
795,0.96,1200,2000
796,0.34,5400,2000
797,0.96,9600,2000
798,1.0,36900,2000
799,1.0,13800,2000
800,0.99,1200,2000
801,0.98,7500,2000
802,1.0,9600,2000
803,0.85,36900,2000
804,0.88,5400,2000
805,0.87,1200,2000
806,0.99,5400,2000
807,0.94,5400,2000
808,1.0,15900,2000
809,0.82,13800,2000
810,0.95,13800,2000
811,0.77,5400,2000
812,1.0,11700,2000
813,0.56,11700,2000
814,1.0,1200,2000
815,0.99,1200,2000
816,0.99,13800,2000
817,0.85,9600,2000
818,0.99,3300,2000
819,1.0,1200,2000
820,0.97,7500,2000
821,1.0,24300,2000
822,1.0,3300,2000
823,0.99,22200,2000
824,1.0,26400,2000
825,0.66,3300,2000
826,0.99,1200,2000
827,1.0,22200,2000
828,0.88,20100,2000
829,1.0,15900,2000
830,0.81,3300,2000
831,1.0,43200,2000
832,0.89,7500,2000
833,0.81,5700,2000
834,0.94,7500,2000
835,0.92,5400,2000
836,0.97,30600,2000
837,0.99,9600,2000
838,0.89,9600,2000
839,0.99,15900,2000
840,0.75,5400,2000
841,0.66,11700,2000
842,0.97,7500,2000
843,0.99,3300,2000
844,0.84,5400,2000
845,0.5,9600,2000
846,0.99,11700,2000
847,1.0,5700,2000
848,0.93,5400,2000
849,0.99,3300,2000
850,1.0,28500,2000
851,0.63,11700,2000
852,0.99,7500,2000
853,1.0,1200,2000
854,0.97,11700,2000
855,1.0,7500,2000
856,0.92,15900,2000
857,0.97,3300,2000
858,0.98,7500,2000
859,0.96,7500,2000
860,0.87,20100,2000
861,0.98,11700,2000
862,0.99,18000,2000
863,0.91,1200,2000
864,0.94,7500,2000
865,0.91,5400,2000
866,0.9,15900,2000
867,0.94,24300,2000
868,0.94,5400,2000
869,0.96,18000,2000
870,1.0,1200,2000
871,0.98,11700,2000
872,0.97,1200,2000
873,0.96,3300,2000
874,0.81,3300,2000
875,1.0,5400,2000
876,0.99,11700,2000
877,0.99,3300,2000
878,0.76,11700,2000
879,0.87,15900,2000
880,0.62,7500,2000
881,1.0,1200,2000
882,0.99,5400,2000
883,1.0,18000,2000
884,1.0,13800,2000
885,0.86,9600,2000
886,1.0,15900,2000
887,1.0,11700,2000
888,0.98,9600,2000
889,0.94,18000,2000
890,0.99,7500,2000
891,0.84,26400,2000
892,1.0,20100,2000
893,0.97,5700,2000
894,1.0,9600,2000
895,1.0,1200,2000
896,0.97,7500,2000
897,0.99,13800,2000
898,0.87,5400,2000
899,1.0,15900,2000
900,0.96,3300,2000
901,0.97,18000,2000
902,0.92,53700,2000
903,1.0,7500,2000
904,1.0,9600,2000
905,0.97,13800,2000
906,0.86,3300,2000
907,0.86,5700,2000
908,0.62,9600,2000
909,0.92,13800,2000
910,1.0,7500,2000
911,0.92,9600,2000
912,0.84,5700,2000
913,0.58,5400,2000
914,0.82,7500,2000
915,0.22,5400,2000
916,1.0,1200,2000
917,1.0,11700,2000
918,1.0,18000,2000
919,0.99,22200,2000
920,0.98,7500,2000
921,0.84,7500,2000
922,1.0,7500,2000
923,1.0,11700,2000
924,0.99,18000,2000
925,1.0,13800,2000
926,0.99,13800,2000
927,0.99,7500,2000
928,0.82,1200,2000
929,1.0,1200,2000
930,0.99,5400,2000
931,1.0,18000,2000
932,0.99,5400,2000
933,1.0,11700,2000
934,0.95,28500,2000
935,1.0,5700,2000
936,0.92,9600,2000
937,0.93,1200,2000
938,0.99,5400,2000
939,0.96,1200,2000
940,0.75,20100,2000
941,0.99,1200,2000
942,0.68,32700,2000
943,1.0,5400,2000
944,0.94,7500,2000
945,0.95,5400,2000
946,1.0,5400,2000
947,0.86,13800,2000
948,1.0,9600,2000
949,0.93,26400,2000
950,1.0,7500,2000
951,0.94,57900,2000
952,0.98,3300,2000
953,1.0,15900,2000
954,0.77,5400,2000
955,0.99,3300,2000
956,1.0,3300,2000
957,0.97,5400,2000
958,0.96,20100,2000
959,0.87,15900,2000
960,1.0,9600,2000
961,0.97,11700,2000
962,1.0,9600,2000
963,0.57,5400,2000
964,0.79,7500,2000
965,0.71,5400,2000
966,1.0,1200,2000
967,0.96,5400,2000
968,1.0,11700,2000
969,0.9,18000,2000
970,0.99,5400,2000
971,0.99,34800,2000
972,0.78,22200,2000
973,0.61,7500,2000
974,0.77,1200,2000
975,0.93,7500,2000
976,1.0,26400,2000
977,0.95,11700,2000
978,1.0,18000,2000
979,0.99,11700,2000
980,0.96,3300,2000
981,1.0,5400,2000
982,1.0,18000,2000
983,1.0,11700,2000
984,0.71,7500,2000
985,0.58,7500,2000
986,0.98,3300,2000
987,0.99,9600,2000
988,0.96,13800,2000
989,1.0,28500,2000
990,1.0,26400,2000
991,0.96,15900,2000
992,0.98,1200,2000
993,1.0,13800,2000
994,1.0,5400,2000
995,0.94,15900,2000
996,0.93,32700,2000
997,0.78,18000,2000
998,1.0,9600,2000
999,1.0,13800,2000
1000,0.91,1200,2000
1001,1.0,5400,2000
1002,0.96,7500,2000
1003,0.95,9600,2000
1004,1.0,20100,2000
1005,0.99,7500,2000
1006,1.0,18000,2000
1007,0.95,3300,2000
1008,0.98,15900,2000
1009,0.86,11700,2000
1010,0.97,20100,2000
1011,1.0,3300,2000
1012,1.0,7500,2000
1013,0.92,9600,2000
1014,0.96,13800,2000
1015,0.73,1200,2000
1016,0.99,11700,2000
1017,0.99,13800,2000
1018,1.0,13800,2000
1019,0.99,7500,2000
1020,0.99,47400,2000
1021,0.99,11700,2000
1022,0.98,20100,2000
1023,0.21,3300,2000
1024,0.87,5400,2000
1025,0.92,13800,2000
1026,0.97,32700,2000
1027,0.2,11700,2000
1028,0.54,1200,2000
1029,0.95,5400,2000
1030,0.84,13800,2000
1031,0.69,7500,2000
1032,0.99,9600,2000
1033,0.99,5400,2000
1034,0.98,15900,2000
1035,0.99,5700,2000
1036,1.0,15900,2000
1037,0.93,3300,2000
1038,0.74,9600,2000
1039,0.97,7500,2000
1040,0.98,7500,2000
1041,0.98,18000,2000
1042,0.89,5400,2000
1043,0.92,18000,2000
1044,1.0,5400,2000
1045,0.99,24300,2000
1046,0.94,5700,2000
1047,0.69,39000,2000
1048,0.95,60000,2000
1049,0.99,20100,2000
1050,0.99,9600,2000
1051,0.89,60000,2000
1052,0.97,13800,2000
1053,0.99,9600,2000
1054,0.99,13800,2000
1055,0.87,28500,2000
1056,0.99,11700,2000
1057,0.99,18000,2000
1058,1.0,7500,2000
1059,0.63,1200,2000
1060,0.98,13800,2000
1061,0.99,5400,2000
1062,0.99,9600,2000
1063,0.92,22200,2000
1064,0.75,15900,2000
1065,0.99,7500,2000
1066,0.99,13800,2000
1067,0.34,1200,2000
1068,0.95,3300,2000
1069,0.88,3300,2000
1070,0.68,3300,2000
